symbol,side,type,price,timestamp
FB,buy,market,,1608917400
GOOG,sell,market,,1608917400
AAPL,buy,limit,130.98,1608917401
AMZN,buy,market,,1608917401
AMZN,buy,limit,,1608917401
GOOG,buy,market,,1608917402
AMZN,buy,limit,3170.56,1608917402
TSLA,buy,limit,659.04,1608917403
FB,sell,limit,265.57,1608917403
GOOG,sell,limit,1732.83,1608917403
GOOG,buy,market,,1608917404
TSLA,sell,market,,1608917404
GOOG,buy,limit,1733.8,1608917405
TSLA,sell,limit,659.19,1608917405
AAPL,buy,limit,130.44,1608917405
AMZN,sell,limit,3171.87,1608917405
GOOG,sell,limit,1733.82,1608917406
TSLA,sell,market,,1608917406
AAPL,sell,market,,1608917406
TSLA,buy,market,,1608917407
GOOG,sell,market,1732.51,1608917407
AAPL,sell,limit,130.4,1608917407
AAPL,sell,market,,1608917408
GOOG,sell,limit,1733.47,1608917408
TSLA,sell,market,,1608917409
AMZN,sell,market,,1608917410
GOOG,buy,market,,1608917410
AAPL,buy,market,,1608917410
GOOG,buy,market,,1608917411
AAPL,buy,market,,1608917412
FB,buy,market,,1608917412
AAPL,sell,limit,131.15,1608917413
GOOG,buy,limit,1733.56,1608917414
FB,buy,market,,1608917415
TSLA,buy,limit,659.18,1608917415
FB,buy,market,,1608917416
FB,buy,limit,265.26,1608917416
AAPL,sell,limit,131.04,1608917417
AMZN,buy,limit,3171.53,1608917417
FB,buy,market,,1608917418
TSLA,sell,market,,1608917418
FB,buy,limit,265.84,1608917419
GOOG,buy,market,,1608917420
TSLA,buy,limit,658.58,1608917420
GOOG,buy,limit,1733.71,1608917421
GOOG,buy,market,,1608917421
TSLA,buy,limit,659.75,1608917422
FB,buy,market,,1608917423
AMZN,buy,market,,1608917423
