Order{id=2, symbol='FB', side='buy', type='market', price=null, timeStamp=1608917400}
Order{id=3, symbol='GOOG', side='sell', type='market', price=null, timeStamp=1608917400}
Order{id=5, symbol='AMZN', side='buy', type='market', price=null, timeStamp=1608917401}
Order{id=6, symbol='AMZN', side='buy', type='limit', price=null, timeStamp=1608917401}
Order{id=7, symbol='GOOG', side='buy', type='market', price=null, timeStamp=1608917402}
Order{id=10, symbol='FB', side='sell', type='limit', price=265.57, timeStamp=1608917403}
Order{id=11, symbol='GOOG', side='sell', type='limit', price=1732.83, timeStamp=1608917403}
Order{id=12, symbol='GOOG', side='buy', type='market', price=null, timeStamp=1608917404}
Order{id=14, symbol='GOOG', side='buy', type='limit', price=1733.8, timeStamp=1608917405}
Order{id=18, symbol='GOOG', side='sell', type='limit', price=1733.82, timeStamp=1608917406}
Order{id=19, symbol='TSLA', side='sell', type='market', price=null, timeStamp=1608917406}
Order{id=22, symbol='GOOG', side='sell', type='market', price=1732.51, timeStamp=1608917407}
Order{id=24, symbol='AAPL', side='sell', type='market', price=null, timeStamp=1608917408}
Order{id=25, symbol='GOOG', side='sell', type='limit', price=1733.47, timeStamp=1608917408}
Order{id=26, symbol='TSLA', side='sell', type='market', price=null, timeStamp=1608917409}
Order{id=28, symbol='GOOG', side='buy', type='market', price=null, timeStamp=1608917410}
Order{id=29, symbol='AAPL', side='buy', type='market', price=null, timeStamp=1608917410}
Order{id=30, symbol='GOOG', side='buy', type='market', price=null, timeStamp=1608917411}
Order{id=31, symbol='AAPL', side='buy', type='market', price=null, timeStamp=1608917412}
Order{id=32, symbol='FB', side='buy', type='market', price=null, timeStamp=1608917412}
Order{id=34, symbol='GOOG', side='buy', type='limit', price=1733.56, timeStamp=1608917414}
Order{id=35, symbol='FB', side='buy', type='market', price=null, timeStamp=1608917415}
Order{id=37, symbol='FB', side='buy', type='market', price=null, timeStamp=1608917416}
Order{id=38, symbol='FB', side='buy', type='limit', price=265.26, timeStamp=1608917416}
Order{id=41, symbol='FB', side='buy', type='market', price=null, timeStamp=1608917418}
Order{id=43, symbol='FB', side='buy', type='limit', price=265.84, timeStamp=1608917419}
Order{id=44, symbol='GOOG', side='buy', type='market', price=null, timeStamp=1608917420}
Order{id=46, symbol='GOOG', side='buy', type='limit', price=1733.71, timeStamp=1608917421}
Order{id=47, symbol='GOOG', side='buy', type='market', price=null, timeStamp=1608917421}
Order{id=49, symbol='FB', side='buy', type='market', price=null, timeStamp=1608917423}
Order{id=51, symbol='GOOG', side='buy', type='market', price=null, timeStamp=1608917424}
Order{id=52, symbol='GOOG', side='sell', type='limit', price=1733.54, timeStamp=1608917424}
Order{id=55, symbol='AAPL', side='sell', type='market', price=null, timeStamp=1608917426}
Order{id=56, symbol='TSLA', side='buy', type='market', price=null, timeStamp=1608917427}
Order{id=57, symbol='AMZN', side='sell', type='market', price=3171.76, timeStamp=1608917428}
Order{id=58, symbol='AMZN', side='sell', type='market', price=null, timeStamp=1608917428}
Order{id=59, symbol='GOOG', side='sell', type='market', price=null, timeStamp=1608917429}
