Matched Trades
Order{id=38097, symbol='TSLA', side='buy', type='market', price=null, timeStamp=1608936633}
Order{id=38068, symbol='TSLA', side='sell', type='limit', price=658.2, timeStamp=1608936619}

Order{id=19639, symbol='AMZN', side='buy', type='limit', price=3171.85, timeStamp=1608927333}
Order{id=19541, symbol='AMZN', side='sell', type='limit', price=3171.24, timeStamp=1608927279}

Order{id=19794, symbol='AMZN', side='sell', type='market', price=null, timeStamp=1608927409}
Order{id=19793, symbol='AMZN', side='buy', type='limit', price=3170.68, timeStamp=1608927408}

Order{id=6452, symbol='AMZN', side='buy', type='market', price=null, timeStamp=1608920662}
Order{id=6447, symbol='AMZN', side='sell', type='limit', price=3170.42, timeStamp=1608920659}

Order{id=41212, symbol='AMZN', side='sell', type='market', price=null, timeStamp=1608938190}
Order{id=41157, symbol='AMZN', side='buy', type='limit', price=3170.03, timeStamp=1608938163}

Order{id=13238, symbol='TSLA', side='buy', type='limit', price=659.86, timeStamp=1608924076}
Order{id=13234, symbol='TSLA', side='sell', type='limit', price=658.1, timeStamp=1608924075}

Order{id=19877, symbol='TSLA', side='sell', type='market', price=null, timeStamp=1608927453}
Order{id=19835, symbol='TSLA', side='buy', type='limit', price=658.44, timeStamp=1608927431}

Order{id=45895, symbol='AAPL', side='sell', type='market', price=null, timeStamp=1608940536}
Order{id=45892, symbol='AAPL', side='buy', type='limit', price=130.44, timeStamp=1608940535}

Order{id=10054, symbol='AMZN', side='sell', type='limit', price=3170.17, timeStamp=1608922482}
Order{id=10040, symbol='AMZN', side='buy', type='limit', price=3170.58, timeStamp=1608922473}

Order{id=11118, symbol='AAPL', side='sell', type='limit', price=130.16, timeStamp=1608923023}
Order{id=11021, symbol='AAPL', side='buy', type='limit', price=130.44, timeStamp=1608922980}

Order{id=2038, symbol='AMZN', side='buy', type='market', price=null, timeStamp=1608918436}
Order{id=2024, symbol='AMZN', side='sell', type='limit', price=3171.77, timeStamp=1608918429}

Order{id=28268, symbol='AMZN', side='buy', type='limit', price=3170.89, timeStamp=1608931699}
Order{id=28263, symbol='AMZN', side='sell', type='limit', price=3170.17, timeStamp=1608931697}

Order{id=30273, symbol='AAPL', side='sell', type='limit', price=131.11, timeStamp=1608932702}
Order{id=30262, symbol='AAPL', side='buy', type='limit', price=131.17, timeStamp=1608932697}

Order{id=33539, symbol='AAPL', side='sell', type='limit', price=130.51, timeStamp=1608934361}
